I ,745826669,101,44,115,104,105,110,95,99,2.494,2.4436,2.8532,1.1379,2.6729,2.8255,2.5441,2.7743,264.89,292.28,295.44,269.9,244.19,249.4
F ,745826669,25888
L ,745826669,25888
M ,745826669,25888,31776,28783.0,29772.0,24419,30066,11376,28532
L ,66577,170
I ,66581,3,3,0,3,2,3,1,3,0.0189,0.6746,-0.1203,0.7279,0.3251,0.1071,-0.0866,0.9356,7.51,-4.57,-6.76,5.8,3.51,12.46
F ,66581,517
I ,66592,3,3,0,3,2,3,1,3,0.019,0.6817,-0.1238,0.7208,0.3244,0.1126,-0.0885,0.9349,7.48,-4.09,-7.21,3.34,-4.53,9.1
F ,66592,521
L ,66592,198
I ,66605,3,3,0,3,2,3,1,3,0.0201,0.6878,-0.1278,0.7142,0.3235,0.1175,-0.0914,0.9343,9.21,-6.4,-7.07,2.14,2.09,10.0
F ,66605,518
L ,66605,216
I ,66615,3,3,0,3,2,3,1,3,0.0211,0.6932,-0.1305,0.7084,0.3229,0.1222,-0.0922,0.9339,9.4,-4.94,-6.69,4.61,0.93,11.21
F ,66615,518
L ,66615,231
L ,66617,232
I ,66624,3,3,0,3,2,3,1,3,0.0206,0.6981,-0.1314,0.7034,0.3224,0.1264,-0.0935,0.9334,9.96,-1.22,-3.95,1.9,-2.13,9.39
F ,66624,510
I ,66631,3,3,0,3,2,3,1,3,0.0206,0.6981,-0.1314,0.7034,0.3221,0.1288,-0.0954,0.933,12.19,-0.47,-3.52,1.9,-2.13,9.39
F ,66631,509
L ,66631,246
I ,66642,3,3,0,3,2,3,1,3,0.0186,0.7026,-0.1311,0.699,0.3218,0.1309,-0.097,0.9326,11.89,-1.29,-3.91,3.29,-1.02,10.72
F ,66642,502
L ,66642,254
I ,66654,3,3,0,3,2,3,1,3,0.0106,0.7103,-0.1271,0.6921,0.3216,0.1331,-0.0979,0.9323,10.43,0.2,-3.77,2.52,0.88,9.22
F ,66654,494
L ,66654,262
I ,66665,3,3,0,3,2,3,1,3,0.005,0.7138,-0.1237,0.6892,0.3214,0.1348,-0.0991,0.932,9.25,1.37,-3.15,2.6,-0.83,9.52
F ,66665,477
L ,66665,268
F ,66667,472
L ,66667,269
I ,66674,3,3,0,3,2,3,1,3,-0.0005,0.7169,-0.1209,0.6865,0.321,0.1362,-0.1007,0.9318,9.55,2.21,-3.27,3.09,-0.66,9.81
F ,66677,464
L ,66677,276
I ,66681,3,3,0,3,2,3,1,3,-0.0005,0.7169,-0.1209,0.6865,0.3206,0.1372,-0.1023,0.9315,9.6,3.06,-2.63,3.09,-0.66,9.81
L ,66687,282
I ,66692,3,3,0,3,2,3,1,3,-0.0046,0.7196,-0.1196,0.6839,0.3201,0.1378,-0.1041,0.9314,9.53,3.0,-1.53,3.02,-0.86,9.67
F ,66692,437
I ,66705,3,3,0,3,2,3,1,3,-0.0052,0.7241,-0.1248,0.6782,0.3198,0.1383,-0.1062,0.9312,10.11,1.76,-1.66,3.14,-1.24,9.64
F ,66705,409
L ,66705,291
L ,66707,291
I ,66715,3,3,0,3,2,3,1,3,-0.0025,0.726,-0.1304,0.6752,0.3195,0.1386,-0.1082,0.931,9.85,-2.9,-2.6,3.11,-1.28,9.53
F ,66715,401
