Startup received!

I ,shin_cal_tot,shin_cal_gyr,shin_cal_acc,shin_cal_mag | foot_cal_tot,foot_cal_gyr,foot_cal_acc,foot_cal_mag | shin_qw,shin_qx,shin_qy,shin_qz | foot_qw,foot_qx,foot_qy,foot_qz | shin_ax,shin_ay,shin_az | foot_ax,foot_ay,foot_az
F ,time | val
L ,time | val
M ,time | potL_cur,potR_cur | potL_adj,potR_adj | targetPotL,targetPotR | motorCmdL,motorCmdR
LOG,time | msg
ERR,msg

LOG,14863 | Motors started.
I ,3,3,0,2,0,3,1,2,0.2332,0.8009,-0.0269,0.5507,0.9507,0.1646,-0.2582,0.0477,8.84,2.61,-2.57,3.74,0.98,9.64
F ,14878,176
L ,14878,107
I ,3,3,0,2,0,3,1,2,0.234,0.7969,-0.0267,0.5562,0.9534,0.1617,-0.2495,0.0487,8.72,2.57,-2.48,3.7,0.97,9.43
F ,14890,0
L ,14890,107
I ,3,3,0,2,0,3,1,2,0.2342,0.7929,-0.026,0.5618,0.9552,0.1616,-0.2427,0.0494,8.68,2.54,-2.4,3.73,1.0,9.11
F ,14901,109
L ,14901,107
I ,3,3,0,2,0,3,1,2,0.2341,0.7888,-0.0252,0.5677,0.957,0.1612,-0.2357,0.0502,8.6,2.63,-2.24,3.72,1.02,8.97
F ,14908,3
L ,14908,106
I ,3,3,0,2,0,3,1,2,0.2338,0.7846,-0.0244,0.5737,0.9587,0.1607,-0.2288,0.0512,8.5,2.65,-2.03,3.69,1.07,8.78
F ,14919,0
L ,14919,106
I ,3,3,0,2,0,3,1,2,0.2332,0.7802,-0.0236,0.5797,0.9604,0.1598,-0.2218,0.0523,8.46,2.67,-2.02,3.57,1.12,8.71
F ,14930,249
L ,14930,106
L ,14933,107
I ,3,3,0,2,0,3,1,2,0.2334,0.7758,-0.0241,0.5856,0.9621,0.1588,-0.2149,0.0535,8.56,2.56,-1.96,3.41,1.36,8.55
F ,14940,0
I ,3,3,0,2,0,3,1,2,0.2326,0.7713,-0.0234,0.5919,0.9637,0.1577,-0.208,0.0549,8.61,2.49,-1.97,3.5,1.34,8.76
F ,14950,180
L ,14950,106
L ,14953,107
I ,3,3,0,2,0,3,1,2,0.2319,0.7666,-0.0228,0.5983,0.9652,0.1565,-0.2013,0.0563,8.56,2.33,-1.8,3.61,1.33,8.92
F ,14959,37
I ,3,3,0,2,0,3,1,2,0.2311,0.7617,-0.0221,0.6047,0.9667,0.1552,-0.1947,0.0579,8.69,2.26,-1.86,3.8,1.24,9.23
F ,14969,0
L ,14969,107
I ,3,3,0,2,0,3,1,2,0.2301,0.7568,-0.0214,0.6113,0.9681,0.154,-0.1881,0.0595,8.88,2.21,-1.59,3.99,1.25,9.31
F ,14980,247
L ,14980,107
I ,3,3,0,2,0,3,1,2,0.2297,0.7518,-0.0214,0.6176,0.9694,0.1528,-0.1815,0.0614,8.85,2.26,-1.49,4.0,1.26,9.17
F ,14990,0
L ,14990,106
I ,3,3,0,2,0,3,1,2,0.2286,0.7468,-0.0206,0.624,0.9707,0.1516,-0.1749,0.0634,8.93,2.26,-1.26,4.15,1.26,9.25
F ,15001,72
L ,15001,107
L ,15003,107
I ,3,3,0,2,0,3,1,2,0.2274,0.7418,-0.0197,0.6305,0.9719,0.1505,-0.1684,0.0657,9.06,2.21,-1.14,4.11,1.21,8.96
F ,15008,4
I ,3,3,0,2,0,3,1,2,0.2259,0.7368,-0.0186,0.6369,0.9729,0.1494,-0.1622,0.0681,9.42,2.21,-0.99,4.0,1.16,8.43
F ,15019,0
L ,15019,107
I ,3,3,0,2,0,3,1,2,0.2243,0.7318,-0.0174,0.6431,0.9739,0.1482,-0.1563,0.0709,9.56,2.31,-0.93,3.99,1.2,8.11
F ,15030,243
L ,15030,106
I ,3,3,0,2,0,3,1,2,0.2226,0.7269,-0.0162,0.6493,0.9747,0.1469,-0.151,0.0739,9.43,2.26,-0.8,3.89,1.27,7.59
F ,15040,0
L ,15040,106
I ,3,3,0,2,0,3,1,2,0.2205,0.7221,-0.0144,0.6554,0.9754,0.1455,-0.1464,0.0773,9.6,2.05,-0.7,3.66,1.37,7.01
F ,15050,185
L ,15050,106
I ,3,3,0,2,0,3,1,2,0.218,0.7174,-0.0123,0.6614,0.9758,0.1439,-0.1428,0.0809,9.94,2.45,-0.43,3.65,1.41,6.63
F ,15060,64
L ,15060,107
I ,3,3,0,2,0,3,1,2,0.2153,0.7128,-0.0098,0.6673,0.9761,0.1419,-0.1404,0.0848,9.68,2.4,-0.47,4.05,1.29,7.32
F ,15069,0
L ,15069,106
I ,3,3,0,2,0,3,1,2,0.2125,0.7082,-0.0071,0.6731,0.9763,0.1396,-0.139,0.089,9.51,2.55,-0.62,4.73,1.16,8.52
F ,15080,251
L ,15080,107
I ,3,3,0,2,0,3,1,2,0.2105,0.7036,-0.0052,0.6785,0.9763,0.1371,-0.1385,0.0935,9.43,3.65,-0.87,5.44,1.5,8.56
F ,15090,0
L ,15090,106
I ,3,3,0,2,0,3,1,2,0.2078,0.699,-0.0027,0.6842,0.9762,0.1344,-0.1384,0.0982,9.35,2.41,-0.18,5.57,1.23,9.44
F ,15101,21
L ,15101,107
I ,3,3,0,2,0,3,1,2,0.2053,0.6945,-0.0002,0.6895,0.9761,0.132,-0.138,0.1033,9.01,2.54,-0.17,7.19,0.97,11.42
F ,15109,6
L ,15109,107
I ,3,3,0,2,0,3,1,2,0.2026,0.6903,0.0022,0.6945,0.976,0.1296,-0.1372,0.1086,8.84,1.65,-0.12,7.67,1.3,11.36
F ,15120,0
L ,15120,107
I ,3,3,0,2,0,3,1,2,0.1998,0.6864,0.0048,0.6991,0.9758,0.1276,-0.1358,0.114,8.81,1.96,-0.33,7.13,1.49,10.63
F ,15130,236
L ,15130,106
I ,3,3,0,2,0,3,1,2,0.1968,0.6828,0.0073,0.7034,0.9757,0.1262,-0.1336,0.1193,9.18,2.36,-0.49,7.11,2.5,10.09
F ,15140,0
L ,15140,106
I ,3,3,0,2,0,3,1,2,0.1938,0.6794,0.0097,0.7075,0.9755,0.1254,-0.1306,0.1243,8.8,2.41,0.14,6.51,3.1,9.21
F ,15150,140
L ,15150,107
I ,3,3,0,2,0,3,1,2,0.1907,0.6763,0.0119,0.7113,0.9755,0.1249,-0.1271,0.1287,8.92,2.81,0.1,6.53,3.64,8.6
F ,15160,52
L ,15160,107
I ,3,3,0,2,0,3,1,2,0.1879,0.6734,0.0136,0.7148,0.9755,0.1243,-0.1233,0.1323,9.11,3.4,0.14,5.76,3.95,7.51
F ,15170,0
L ,15170,106
I ,3,3,0,2,0,3,1,2,0.1855,0.6704,0.0147,0.7182,0.9758,0.1234,-0.1198,0.135,9.09,3.32,0.34,5.84,3.8,7.07
F ,15180,226
L ,15180,106
I ,3,3,0,2,0,3,1,2,0.1836,0.6676,0.0151,0.7213,0.9761,0.122,-0.1165,0.1366,9.17,3.39,0.28,5.84,3.46,7.17
F ,15190,0
L ,15190,107
I ,3,3,0,2,0,3,1,2,0.1821,0.6647,0.015,0.7243,0.9765,0.1202,-0.1138,0.1375,8.96,3.25,0.34,5.96,3.11,7.38
F ,15201,0
L ,15201,107
I ,3,3,0,2,0,3,1,2,0.181,0.662,0.0141,0.7271,0.9771,0.1181,-0.1113,0.1375,8.96,3.07,0.23,5.94,2.75,7.42
F ,15209,2
L ,15209,107
I ,3,3,0,2,0,3,1,2,0.1804,0.6594,0.0126,0.7297,0.9777,0.1158,-0.109,0.1369,8.65,2.72,0.28,6.05,1.96,7.57
F ,15220,0
L ,15220,107
