Startup received!

I ,shin_cal_tot,shin_cal_gyr,shin_cal_acc,shin_cal_mag | foot_cal_tot,foot_cal_gyr,foot_cal_acc,foot_cal_mag | shin_qw,shin_qx,shin_qy,shin_qz | foot_qw,foot_qx,foot_qy,foot_qz | shin_ax,shin_ay,shin_az | foot_ax,foot_ay,foot_az
F ,time | val
L ,time | val
M ,time | potL_cur,potR_cur | potL_adj,potR_adj | targetPotL,targetPotR | motorCmdL,motorCmdR
LOG,time | msg
ERR,msg

LOG,32373 | Motors started.
I ,1,3,0,2,0,3,1,2,0.0,0.6577,0.515,0.3321,0.6192,0.234,0.0,0.6867,8.59,0.0,0.0,5.44,0.05,7.55
F ,32390,49
L ,32390,96
I ,1,3,0,2,0,3,1,2,0.0,0.6569,0.5149,0.3342,0.6213,0.2335,0.0,0.6856,8.4,0.0,0.0,5.3,0.07,7.5
F ,32397,46
L ,32397,95
I ,1,3,0,2,0,3,1,2,0.0,0.6566,0.5139,0.3369,0.6237,0.233,0.0,0.6845,8.53,0.0,0.0,5.38,0.0,7.82
F ,32409,45
L ,32409,95
I ,1,3,0,2,0,3,1,2,0.0,0.656,0.5132,0.3403,0.6262,0.2323,0.0,0.6833,8.65,0.0,0.0,5.34,0.0,7.96
F ,32420,46
L ,32420,96
I ,1,3,0,2,0,3,1,2,0.0,0.6554,0.5122,0.3437,0.6287,0.2315,0.0,0.6821,8.85,0.0,0.0,5.15,0.0,7.96
F ,32431,47
L ,32431,95
L ,32433,94
I ,1,3,0,2,0,3,1,2,0.0,0.6549,0.5111,0.3471,0.6313,0.2307,0.0,0.681,8.85,0.0,0.0,5.15,0.0,7.96
F ,32440,51
I ,1,3,0,2,0,3,1,2,0.0,0.654,0.5103,0.3505,0.6339,0.2299,0.0,0.68,8.65,0.0,0.0,5.42,0.0,8.18
F ,32447,47
L ,32447,95
I ,1,3,0,2,0,3,1,2,0.0,0.6531,0.509,0.3542,0.6365,0.229,0.0,0.6791,8.73,0.0,0.0,5.61,0.0,8.28
F ,32460,49
L ,32460,95
I ,1,3,0,2,0,3,1,2,0.0,0.652,0.5079,0.358,0.639,0.2279,0.0,0.6784,8.85,0.0,0.0,5.46,0.0,8.14
F ,32471,51
L ,32471,95
I ,1,3,0,2,0,3,1,2,0.0,0.6506,0.5068,0.3618,0.6416,0.2267,0.0,0.6778,8.97,0.0,0.0,5.46,0.0,8.11
F ,32481,50
L ,32481,95
I ,1,3,0,2,0,3,1,2,0.0,0.6492,0.5057,0.3658,0.6441,0.2254,0.0,0.6772,8.97,0.0,0.0,5.57,0.0,8.27
F ,32489,54
L ,32490,95
I ,1,3,0,2,0,3,1,2,0.0,0.6473,0.505,0.3695,0.6467,0.224,0.0,0.6766,8.98,0.0,0.0,5.63,0.0,8.22
F ,32497,53
L ,32497,95
F ,32503,49
L ,32503,95
I ,1,3,0,2,0,3,1,2,0.0,0.6458,0.5037,0.3738,0.6495,0.2225,0.0,0.676,9.27,0.0,0.0,5.63,0.0,8.07
I ,1,3,0,2,0,3,1,2,0.0,0.6442,0.5024,0.3781,0.6524,0.2211,0.0,0.6752,9.15,0.0,0.0,5.63,0.0,8.05
F ,32521,54
L ,32521,95
I ,1,3,0,2,0,3,1,2,0.0,0.6426,0.5009,0.3826,0.6553,0.2196,0.0,0.6742,9.11,0.0,0.0,5.57,0.0,8.14
F ,32531,52
L ,32531,95
I ,1,3,0,2,0,3,1,2,0.0,0.641,0.4993,0.3874,0.6585,0.2182,0.0,0.6731,9.11,0.0,0.0,5.61,0.0,8.22
F ,32540,55
L ,32540,95
F ,32543,47
L ,32543,95
I ,1,3,0,2,0,3,1,2,0.0,0.6398,0.497,0.3927,0.6618,0.2168,0.0,0.6719,9.31,0.0,0.0,5.86,0.0,8.56
I ,1,3,0,2,0,3,1,2,0.0,0.638,0.4952,0.3977,0.6651,0.2153,0.0,0.6706,9.31,0.0,0.0,6.32,0.0,8.47
F ,32559,51
L ,32559,95
I ,1,3,0,2,0,3,1,2,0.0,0.6361,0.4934,0.4028,0.6685,0.2139,0.0,0.6694,9.27,0.0,0.0,6.42,0.0,8.1
F ,32571,54
L ,32571,94
F ,32573,49
L ,32573,94
I ,1,3,0,2,0,3,1,2,0.0,0.634,0.4916,0.4077,0.6716,0.2124,0.0,0.6683,9.18,0.0,0.0,6.4,0.0,7.63
I ,1,3,0,2,0,3,1,2,0.0,0.6318,0.4899,0.4126,0.6744,0.2109,0.0,0.6676,9.18,0.0,0.0,6.92,0.0,7.71
F ,32589,54
L ,32589,95
I ,1,3,0,2,0,3,1,2,0.0,0.6301,0.4875,0.418,0.677,0.2094,0.0,0.6669,9.22,0.0,0.0,7.44,0.0,7.73
F ,32597,52
L ,32597,94
I ,1,3,0,2,0,3,1,2,0.0,0.6278,0.486,0.4227,0.6793,0.2081,0.0,0.6666,9.13,0.0,0.0,7.94,0.0,7.9
F ,32609,51
L ,32609,95
I ,1,3,0,2,0,3,1,2,0.0,0.6252,0.4846,0.4272,0.6813,0.2067,0.0,0.6665,9.06,0.0,0.0,7.69,0.0,7.53
F ,32621,53
L ,32621,95
I ,1,3,0,2,0,3,1,2,0.0,0.6226,0.4833,0.4315,0.6832,0.2053,0.0,0.6665,9.06,0.0,0.0,7.51,0.0,7.09
F ,32631,53
L ,32631,95
I ,1,3,0,2,0,3,1,2,0.0,0.6199,0.4824,0.4354,0.6848,0.2039,0.0,0.6667,9.06,0.0,0.0,7.48,0.0,6.84
F ,32639,56
L ,32639,95
I ,1,3,0,2,0,3,1,2,0.0,0.6179,0.4816,0.4384,0.6862,0.2028,0.0,0.667,9.01,0.0,0.0,7.5,0.0,6.84
F ,32647,54
L ,32647,95
I ,1,3,0,2,0,3,1,2,0.0,0.6152,0.4809,0.442,0.6876,0.2018,0.0,0.6672,8.85,0.0,0.0,7.46,0.0,6.71
F ,32659,54
L ,32659,95
I ,1,3,0,2,0,3,1,2,0.0,0.6126,0.4802,0.4456,0.689,0.2008,0.0,0.6674,8.68,0.0,0.0,7.42,0.0,6.19
F ,32671,53
L ,32671,95
I ,1,3,0,2,0,3,1,2,0.0,0.6101,0.4794,0.4491,0.6904,0.2,0.0,0.6674,8.86,0.0,0.0,7.76,0.0,6.13
F ,32681,53
L ,32681,95
I ,1,3,0,2,0,3,1,2,0.0,0.6077,0.4788,0.4524,0.6918,0.1994,0.0,0.6672,8.86,0.0,0.0,8.06,0.0,6.13
F ,32688,54
L ,32688,95
I ,1,3,0,2,0,3,1,2,0.0,0.6057,0.478,0.4557,0.6933,0.1988,0.0,0.6668,8.38,0.0,0.0,8.32,0.0,6.05
F ,32697,52
L ,32697,95
F ,32703,47
L ,32703,94
I ,1,3,0,2,0,3,1,2,0.0,0.6039,0.4774,0.4589,0.695,0.1983,0.0,0.6661,8.52,0.0,0.0,8.23,0.0,5.36
L ,32713,95
I ,1,3,0,2,0,3,1,2,0.0,0.6024,0.4767,0.4618,0.6968,0.198,0.0,0.6651,8.81,0.0,0.0,8.35,0.0,5.26
F ,32721,54
L ,32723,95
I ,1,3,0,2,0,3,1,2,0.0,0.6013,0.476,0.4647,0.6988,0.1979,0.0,0.6636,8.8,0.0,0.0,8.73,0.0,5.57
F ,32731,52
L ,32733,95
I ,1,3,0,2,0,3,1,2,0.0,0.6007,0.475,0.4675,0.7011,0.1978,0.0,0.6617,8.8,0.0,0.0,9.06,0.0,5.98
F ,32739,52
I ,0,3,0,2,0,3,1,2,0.0,0.6007,0.4739,0.4704,0.7037,0.1976,0.0,0.6593,8.93,0.0,0.0,8.68,0.0,5.9
F ,32747,50
