Startup received!

I ,time,shin_cal_tot,shin_cal_gyr,shin_cal_acc,shin_cal_mag | foot_cal_tot,foot_cal_gyr,foot_cal_acc,foot_cal_mag | shin_qw,shin_qx,shin_qy,shin_qz | foot_qw,foot_qx,foot_qy,foot_qz | shin_ax,shin_ay,shin_az | foot_ax,foot_ay,foot_az
F ,time | val
L ,time | val
M ,time | potL_cur,potR_cur | potL_adj,potR_adj | targetPotL,targetPotR | motorCmdL,motorCmdR
LOG,time | msg
ERR,msg

LOG,97977 | Motors started.
F ,97987,286
L ,97987,107
I ,97992,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.75,-1.04,2.48,-0.56,9.4
I ,98002,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.67,-0.73,-1.0,2.48,-0.52,9.4
F ,98002,290
L ,98002,107
I ,98012,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.69,-1.0,2.5,-0.54,9.38
F ,98012,290
L ,98012,106
I ,98022,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.75,-1.0,2.47,-0.54,9.39
F ,98022,288
L ,98022,107
I ,98032,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.69,-0.75,-1.04,2.48,-0.56,9.4
F ,98032,289
L ,98032,107
I ,98042,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.71,-0.75,-1.03,2.49,-0.52,9.43
F ,98042,290
L ,98042,106
F ,98047,286
L ,98047,107
I ,98052,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.75,-1.04,2.49,-0.54,9.4
I ,98062,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.69,-0.7,-1.03,2.5,-0.56,9.39
F ,98062,290
L ,98062,107
I ,98072,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.75,-1.0,2.5,-0.55,9.39
F ,98072,289
L ,98072,107
I ,98082,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.74,-1.0,2.48,-0.55,9.43
F ,98082,288
L ,98082,107
I ,98092,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.71,-0.74,-1.03,2.48,-0.56,9.4
F ,98092,287
L ,98092,106
I ,98102,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.71,-0.75,-0.94,2.5,-0.58,9.42
F ,98102,287
L ,98102,106
I ,98112,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.71,-0.81,-1.02,2.49,-0.52,9.4
F ,98112,286
L ,98112,107
I ,98122,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.75,-1.03,2.5,-0.56,9.42
F ,98122,286
L ,98122,107
I ,98132,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.73,-1.05,2.51,-0.51,9.43
F ,98132,284
L ,98132,107
I ,98142,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.65,-0.67,-1.01,2.49,-0.55,9.4
F ,98142,284
L ,98142,106
I ,98152,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.69,-1.07,2.48,-0.56,9.42
F ,98152,285
L ,98152,107
I ,98162,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.77,-1.07,2.5,-0.55,9.4
F ,98162,284
L ,98162,106
F ,98167,282
L ,98167,107
I ,98172,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.67,-0.77,-1.01,2.49,-0.56,9.42
I ,98182,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.64,-0.74,-1.02,2.5,-0.55,9.39
F ,98182,284
L ,98182,105
L ,98187,107
I ,98192,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.69,-1.03,2.49,-0.55,9.42
F ,98192,284
I ,98202,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.72,-0.68,-1.02,2.48,-0.55,9.39
F ,98202,285
L ,98202,106
I ,98212,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.7,-1.0,2.49,-0.54,9.38
F ,98212,284
L ,98212,107
I ,98222,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.69,-0.74,-1.04,2.5,-0.54,9.4
F ,98222,282
L ,98222,106
I ,98232,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.7,-1.08,2.5,-0.51,9.42
F ,98232,283
L ,98232,106
I ,98242,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.73,-1.04,2.51,-0.56,9.4
F ,98242,283
L ,98242,107
I ,98252,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.69,-0.72,-1.05,2.5,-0.51,9.4
I ,98272,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.68,-1.07,2.49,-0.54,9.4
F ,98272,282
L ,98272,106
I ,98282,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.67,-0.75,-1.05,2.49,-0.52,9.42
F ,98282,283
L ,98282,106
I ,98292,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.73,-1.02,2.48,-0.52,9.43
F ,98292,282
L ,98292,106
I ,98302,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-135.92,-258.53,-138.25,-184.33,-263.68
L ,98337,107
I ,98342,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.67,-0.69,-1.08,2.51,-0.51,9.43
F ,98352,283
L ,98352,107
I ,98382,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.71,-0.68,-1.09,2.49,-0.55,9.4
F ,98382,282
L ,98382,107
I ,98393,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.68,-1.09,2.49,-0.52,9.43
F ,98393,282
L ,98393,106
I ,98402,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.67,-0.67,-1.08,2.5,-0.52,9.4
F ,98402,281
L ,98402,107
I ,98413,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.68,-1.12,2.52,-0.54,9.43
F ,98413,283
L ,98413,107
I ,98422,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.67,-0.68,-1.08,2.5,-0.55,9.42
F ,98422,281
L ,98422,106
I ,98433,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.68,-1.16,2.5,-0.54,9.43
F ,98433,281
L ,98433,106
F ,98443,266
